,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    23 Jaén,59,3,59,5,59,29,59,31,59,14,58,89,60,24,61,81,62,17,62,63,63,86,64,13,62,72,61,99,61,73,61,87,62,56,60,86,61,72,62,41,62,79,62,43,61,38,63,45,64,64,63,3,64,82,63,45,63,39,63,38,62,45,63,46,63,88,62,39,62,13,63,15,64,58,63,42,63,55,64,2,63,18,63,14,63,73,65,32,65,9,64,82,63,96,65,6,65,73,65,67,63,54,63,65,62,99,62,92,62,74,64,39,65,3,62,92,62,93,64,64,63,67,63,53,64,32,65,68,66,7,64,76,64,26,66,62,66,31,65,58,64,84,64,27,15,88,18,26,18,39,16,71,16,53,21,26,23,35,20,23,19,65,22,8,28,32,22,66,25,36,28,76,30,89,26,78,25,38,32,41,31,68,31,54,27,75,31,43,31,64,23,69,31,1,36,2,39,4,38,45,33,33,36,43,35,6,27,46,22,91,27,24,25,66,17,57,21,7,22,11,23,77,16,59,20,57,23,77,20,24,14,55,14,63,12,97,11,9,8,27,9,81,9,8,8,2,7,5,7,77,8,1,9,22,9,28,11,17,9,49,11,98,10,37,12,57,14,1,13,29,10,31,11,34,13,9,13,21,11,28,13,43,14,99,13,11,9,12,49,89,48,27,48,38,49,39,49,36,46,37,46,17,49,3,49,95,48,8,45,78,49,6,46,82,44,16,42,66,45,3,46,68,41,13,42,17,42,73,45,36,42,81,41,96,48,42,44,53,40,21,39,28,39,5,42,26,40,29,40,22,46,3,49,24,45,4,46,19,52,5,50,97,49,4,48,45,53,55,50,18,48,13,50,83,55,81,56,26,56,42,56,87,59,67,59,28,59,24,58,44,58,88,58,1,57,88,56,96,58,41,57,77,56,95,55,39,57,93,55,67,54,62,55,77,58,91,58,57,56,29,55,77,59,11,57,41,55,75,56,34,58,41,
    24 León,56,74,58,9,58,58,55,83,55,74,56,67,54,92,54,19,53,97,55,38,56,68,56,6,55,99,57,11,55,9,54,61,53,88,55,82,54,59,56,1,56,39,57,86,58,55,67,55,95,55,3,54,95,55,62,56,58,57,8,58,7,57,46,58,4,57,82,57,5,56,57,56,71,58,64,58,78,58,19,58,58,58,17,59,77,58,14,58,19,59,3,57,67,58,1,58,58,59,58,84,59,13,58,4,58,29,57,31,56,12,58,66,60,14,59,74,59,1,56,79,56,33,55,3,53,45,53,84,55,55,53,82,53,6,53,77,55,5,52,87,54,93,11,69,10,93,10,64,11,8,9,99,9,25,8,7,11,79,12,2,13,94,15,21,17,47,18,7,16,19,83,20,67,19,21,18,45,19,17,21,62,21,68,20,88,25,11,25,77,25,36,21,79,22,21,23,15,21,46,21,3,20,4,19,28,17,51,15,17,16,44,17,58,15,49,13,42,13,62,16,3,13,12,10,85,13,19,11,89,8,14,6,74,6,94,6,15,6,13,4,4,4,5,5,58,4,34,5,21,5,78,7,18,6,96,6,79,6,39,7,83,6,44,4,84,4,88,4,83,4,26,5,34,5,81,5,91,6,7,6,45,5,57,6,88,50,11,51,74,52,34,49,65,50,17,51,43,50,14,47,8,47,48,47,66,48,6,46,26,45,87,47,97,44,81,43,32,43,53,45,52,44,13,43,97,44,17,45,77,43,44,41,32,41,76,43,25,42,75,42,74,44,43,45,64,46,22,46,38,48,18,49,5,47,67,46,62,47,93,50,77,50,77,48,86,50,89,51,86,51,89,51,23,53,45,55,4,53,67,54,45,54,99,56,4,56,19,55,83,55,52,55,25,54,52,8,54,57,56,5,55,92,54,39,53,13,53,61,52,34,50,87,51,55,52,58,50,69,50,43,50,5,51,51,49,93,51,15,,,,,
    25 Lleida,67,6,68,38,67,21,66,25,67,64,65,37,64,4,61,27,65,3,66,69,65,27,65,13,64,73,65,2,67,47,70,53,69,68,69,11,69,5,69,17,68,51,67,2,66,8,66,39,68,47,68,35,69,18,66,94,68,6,68,94,67,5,68,9,68,37,66,62,68,9,67,68,66,81,66,7,70,33,69,79,70,87,70,57,71,94,71,9,71,44,72,34,69,19,69,3,68,86,70,23,71,54,71,2,71,12,69,57,73,37,72,2,71,63,71,39,69,24,70,46,67,54,68,23,68,17,66,16,66,2,67,13,65,54,68,24,66,78,66,61,67,56,65,69,7,41,9,46,10,88,10,7,11,56,7,47,9,58,10,27,11,74,8,76,10,37,9,2,9,46,7,66,9,42,12,65,13,7,11,28,12,94,14,86,12,21,12,24,14,42,16,31,15,46,15,31,18,97,15,44,18,22,16,44,20,18,20,19,14,88,13,46,14,17,11,83,13,67,14,8,14,91,14,98,12,68,12,58,9,49,11,31,9,11,6,89,5,48,2,72,3,84,2,51,2,27,2,3,2,96,4,2,6,84,4,8,5,18,4,69,4,41,3,54,4,57,3,13,4,43,4,25,4,6,3,92,4,39,1,94,3,34,4,41,2,96,4,67,62,9,61,91,59,9,59,58,59,82,60,49,57,91,54,97,57,63,60,85,58,51,59,14,58,61,60,21,61,11,61,6,60,57,61,32,60,51,58,89,60,15,58,82,57,17,55,56,57,89,57,88,56,6,56,6,55,66,57,61,53,89,54,99,58,2,57,65,59,13,59,67,57,68,57,31,59,84,59,34,61,88,61,69,65,12,63,77,64,94,67,36,65,4,67,42,66,21,68,47,69,92,69,56,69,2,66,65,68,35,69,8,67,93,68,4,66,19,67,96,64,45,66,9,65,15,63,35,63,51,64,5,62,66,66,92,64,55,63,67,65,56,62,62,
    27 Lugo,56,6,55,1,53,84,53,37,55,75,56,42,54,99,55,21,56,61,57,51,56,8,56,81,55,6,56,78,57,44,57,57,84,56,8,56,55,21,54,84,56,2,55,55,56,82,56,91,57,37,56,49,56,15,56,45,56,72,56,82,55,95,56,93,58,57,58,5,58,39,57,9,59,16,57,73,56,27,55,7,56,88,54,46,57,25,59,8,59,82,58,69,57,73,57,1,56,84,55,26,57,77,58,13,57,49,58,8,60,5,57,1,60,84,57,16,59,36,59,95,58,32,57,7,57,93,57,2,56,28,56,96,58,38,58,69,57,7,59,75,58,67,7,93,6,4,7,11,8,96,7,18,6,85,7,78,8,6,10,67,9,76,12,18,13,59,13,78,13,77,13,59,15,7,14,55,14,7,15,8,16,36,15,7,15,36,20,1,22,7,18,52,17,26,19,62,22,6,18,9,17,17,18,89,15,1,11,21,10,64,11,22,12,55,8,61,8,66,12,43,11,39,9,8,7,82,8,46,8,98,5,24,3,89,3,92,5,62,4,68,4,38,3,21,5,58,4,55,5,21,4,12,5,62,5,33,4,91,3,66,5,26,4,14,5,58,4,34,5,59,6,93,4,2,6,1,7,13,6,8,4,93,7,78,7,75,51,62,51,69,50,1,48,58,51,75,52,56,50,72,50,46,50,57,51,89,49,88,49,9,47,93,48,97,49,64,48,41,49,43,48,19,47,15,46,18,46,58,47,41,44,44,44,28,46,37,47,47,45,41,43,46,45,78,46,98,46,9,47,5,50,55,52,34,51,54,51,6,52,91,54,4,50,55,49,86,49,67,52,44,49,85,52,11,55,99,57,49,56,39,54,49,54,35,54,35,53,49,54,55,55,48,54,49,55,69,56,68,53,98,57,85,55,7,56,24,57,47,55,6,54,59,54,69,53,24,54,2,53,54,54,21,55,12,54,26,55,1,54,12,,,
    28 Madrid,68,5,67,72,67,78,67,67,68,29,68,29,68,4,68,69,68,24,68,52,68,4,68,9,68,47,68,66,69,23,69,52,70,12,70,36,71,1,70,38,70,28,70,11,69,59,68,87,69,35,70,3,70,31,70,78,70,89,71,25,71,56,71,28,71,84,71,8,72,39,71,93,72,88,72,52,73,62,72,67,73,26,72,76,74,8,73,86,73,68,74,75,74,7,73,47,73,55,74,8,74,46,73,99,74,24,73,72,73,52,72,71,72,57,72,72,73,94,73,51,71,96,72,4,71,9,71,45,71,41,71,56,71,47,70,56,70,45,70,94,70,65,70,65,9,4,9,41,9,8,10,64,11,7,11,2,11,36,12,85,13,11,81,12,78,13,58,14,15,14,3,15,69,15,88,16,35,15,68,16,95,18,25,18,35,16,21,18,24,19,2,19,43,18,73,18,75,19,97,19,79,18,49,19,12,19,2,18,5,16,6,16,34,14,68,15,16,15,6,16,1,16,6,14,29,14,31,13,92,13,15,9,33,8,2,7,72,6,1,5,37,4,14,5,34,4,81,4,68,3,85,5,36,4,7,4,89,5,33,7,7,7,49,5,4,5,5,5,91,5,33,5,69,5,59,5,18,5,22,4,6,5,61,4,64,5,19,61,65,61,35,61,14,60,47,60,73,60,64,60,62,59,86,59,37,60,43,59,35,58,84,58,78,58,84,58,37,58,47,58,65,59,32,59,5,57,54,57,38,58,74,56,9,55,77,55,88,57,13,57,12,56,64,56,86,58,8,57,88,57,72,58,55,60,27,60,56,61,37,61,83,61,59,61,83,61,62,79,62,35,63,77,64,15,66,81,68,62,68,35,68,99,69,6,71,1,70,49,70,43,70,76,70,89,69,58,69,3,69,2,68,85,68,71,68,1,68,8,68,8,67,65,67,64,67,34,67,56,67,77,66,87,67,21,66,96,67,37,66,99,,,
    29 Málaga,61,61,62,49,62,9,62,95,64,65,64,68,64,54,62,58,61,18,62,2,61,62,62,3,62,14,63,37,62,33,64,46,64,64,67,63,66,3,66,26,66,79,66,29,65,34,65,6,65,45,64,76,64,53,63,17,63,16,65,11,65,6,65,9,66,62,65,43,65,31,66,95,67,24,68,68,9,68,73,67,97,66,84,68,5,67,71,67,51,67,93,66,43,66,88,67,69,69,31,67,69,67,74,68,66,68,87,67,52,66,62,67,5,67,26,67,9,66,3,67,48,67,82,66,48,66,65,74,66,38,66,27,65,79,66,31,66,99,67,64,66,76,16,22,15,52,15,76,14,69,13,57,14,14,17,7,18,33,18,41,20,4,20,72,24,1,24,29,22,99,23,4,23,91,25,29,27,78,28,66,31,12,30,78,28,84,32,42,36,3,37,43,35,21,36,47,38,14,37,12,33,88,35,82,33,33,32,29,33,29,35,31,17,30,45,29,13,29,72,30,86,28,56,23,6,26,56,25,95,22,64,16,96,13,98,12,52,10,95,8,23,8,19,9,44,7,71,7,93,7,75,8,96,8,81,7,64,10,1,9,59,10,84,10,13,12,15,13,29,13,81,12,29,12,89,13,8,13,72,11,75,10,8,11,6,51,62,52,79,52,98,53,7,55,87,55,53,53,53,51,11,49,92,49,59,48,85,47,8,47,4,48,8,47,97,49,5,48,29,48,84,47,29,45,64,46,23,47,17,44,16,41,44,40,95,41,96,40,99,39,8,39,72,43,5,42,1,43,39,45,3,46,24,46,14,46,8,46,77,48,19,48,42,47,52,48,56,51,7,50,3,50,13,52,23,56,41,57,14,58,51,60,28,63,61,62,14,61,34,63,36,63,4,62,29,60,66,61,14,62,12,60,38,59,7,60,16,60,95,58,41,57,23,56,66,58,22,57,73,56,71,57,21,59,12,60,83,59,2,,,,
    30 Murcia,66,68,66,26,66,49,66,2,66,39,66,49,67,6,66,9,66,7,66,97,66,27,66,99,66,39,67,75,68,9,67,1,67,8,67,64,68,14,67,44,68,25,68,71,68,45,68,75,69,25,70,38,69,13,69,15,68,73,69,28,69,36,69,8,69,75,70,59,69,55,69,77,70,86,71,27,70,31,70,66,69,75,69,77,71,66,72,23,72,72,9,71,68,72,51,72,46,72,73,72,56,73,1,71,38,70,83,71,72,71,47,71,41,71,32,71,44,70,84,72,73,72,4,71,78,71,9,71,84,71,43,71,1,70,55,70,28,71,69,8,70,1,12,95,12,2,10,77,11,59,12,5,13,63,13,3,14,9,15,5,16,16,13,94,15,72,15,64,18,6,16,57,18,95,20,57,21,19,20,32,24,67,25,26,23,8,22,76,27,29,27,41,28,24,28,19,30,37,28,87,28,56,26,12,27,63,26,15,23,72,24,19,26,25,6,23,58,21,44,22,65,22,68,22,86,20,9,20,15,15,77,13,55,10,57,7,87,6,84,6,82,5,19,5,12,6,12,6,12,6,26,5,39,5,57,6,82,5,84,5,54,6,54,7,72,7,31,8,42,7,18,7,71,6,99,9,9,8,43,7,52,8,12,8,96,58,5,58,17,59,33,58,53,58,39,57,42,58,32,56,24,56,66,56,15,57,3,56,45,56,1,55,51,56,81,54,31,53,28,53,31,54,3,50,8,51,1,52,85,52,88,49,99,50,27,50,5,49,64,48,15,48,89,49,5,51,24,50,51,51,51,53,84,52,72,51,63,53,1,54,46,55,24,54,66,53,93,53,82,56,68,57,68,60,64,62,32,64,11,66,8,67,5,67,77,68,8,69,36,67,1,66,49,67,24,67,61,67,44,66,45,67,27,66,92,67,97,66,48,66,53,65,84,66,68,65,92,66,5,64,13,64,36,65,65,64,14,63,81,,,,
    31 Navarra,63,29,63,86,64,43,62,32,62,9,64,16,63,95,62,76,63,84,65,73,64,88,63,73,63,69,64,43,61,95,63,6,63,6,64,52,63,89,64,81,65,29,64,94,65,77,66,19,65,78,67,88,66,63,66,37,66,17,67,64,67,5,66,39,66,1,67,32,67,35,68,4,67,56,68,22,67,84,67,93,67,61,68,86,70,28,70,35,69,45,70,76,70,63,70,35,70,25,71,18,72,22,71,29,70,71,71,45,70,32,70,16,70,18,69,83,69,31,70,31,69,77,69,75,67,68,68,14,67,9,68,17,67,25,66,55,67,14,67,84,67,94,68,92,8,12,6,64,6,78,8,4,9,11,8,5,9,14,10,4,7,84,7,58,7,2,8,33,9,23,11,25,11,27,11,96,12,6,12,32,11,9,14,43,14,96,15,57,15,49,15,9,15,5,17,18,18,35,17,62,16,79,15,43,17,89,16,63,13,2,11,49,12,73,12,87,11,56,10,61,10,52,13,33,9,77,9,46,10,82,9,9,7,17,5,29,4,83,5,28,3,97,2,85,2,68,3,6,2,38,3,63,5,46,5,16,5,4,3,73,4,11,4,69,4,6,3,74,4,52,4,77,4,73,4,55,4,7,3,31,3,65,3,22,2,37,3,67,58,15,59,62,60,6,57,31,57,18,58,99,58,11,56,46,58,84,60,75,60,21,58,42,57,81,57,18,54,97,56,55,46,56,57,56,29,55,46,55,53,54,82,55,58,55,66,55,59,56,22,54,4,54,68,55,6,57,2,55,5,55,35,57,38,59,58,58,77,59,28,59,75,60,98,60,71,58,88,61,1,62,35,62,68,63,39,64,47,67,1,67,22,66,64,67,46,69,15,70,29,69,11,69,3,68,86,66,48,66,53,66,64,67,23,66,46,67,2,66,94,67,14,64,62,64,89,64,68,65,7,64,51,64,34,64,69,65,65,66,33,66,39,,
    32 Ourense,50,72,51,1,52,45,51,76,51,33,51,81,51,44,51,65,52,19,52,15,51,3,52,62,52,47,54,25,51,44,48,49,53,50,48,50,91,51,58,51,38,51,12,50,69,50,68,51,6,52,57,53,96,53,8,53,66,55,8,56,15,56,26,55,63,56,8,56,3,55,51,55,74,54,85,55,16,54,96,54,1,54,84,56,78,59,17,56,21,56,63,58,78,58,72,58,49,58,76,57,71,57,15,55,77,56,75,56,6,56,97,56,16,56,43,57,42,58,24,55,43,56,69,56,62,56,53,54,38,56,46,55,95,54,18,52,43,54,96,53,52,55,86,11,62,11,91,11,14,77,13,46,10,83,10,94,14,34,12,56,12,96,15,51,20,56,17,98,17,7,20,6,19,86,17,48,15,21,21,4,24,15,21,39,20,51,21,5,20,55,22,97,25,58,25,31,24,95,22,5,20,4,19,46,17,93,18,62,16,43,16,12,17,1,15,63,14,64,14,5,14,89,11,5,11,18,7,7,95,5,36,4,2,4,47,5,98,4,1,4,99,3,91,3,3,5,21,4,55,5,86,9,42,6,61,6,85,10,24,8,15,9,36,9,29,10,98,10,45,4,16,7,21,6,17,5,57,6,54,5,15,5,9,7,31,44,83,45,1,46,68,44,12,44,42,46,2,45,82,44,25,45,63,45,39,43,34,41,8,43,4,44,64,40,84,38,47,40,88,42,81,40,2,39,12,40,39,40,63,39,79,40,27,39,33,39,12,40,3,40,38,41,58,44,62,45,22,46,17,45,27,46,87,46,99,46,6,47,3,46,82,47,16,46,78,48,12,48,71,52,8,54,47,53,2,54,36,56,16,55,21,56,15,55,83,55,45,55,26,52,86,54,17,52,77,51,61,52,45,52,56,51,54,53,49,50,24,51,42,50,4,50,62,52,12,52,39,52,5,51,16,49,52,14,50,36,51,78,,,,,
    34 Palencia,58,32,58,45,58,58,58,81,58,41,60,44,61,5,58,77,60,18,60,43,60,76,60,76,64,41,65,73,61,41,61,52,63,5,64,2,60,61,75,61,63,62,73,60,65,60,42,61,64,64,25,64,7,62,93,63,81,65,59,63,39,63,65,62,78,63,65,61,22,59,98,61,91,63,37,62,21,62,66,61,23,61,51,61,2,60,77,60,54,61,36,61,29,61,43,62,53,63,1,60,7,61,75,62,43,65,39,64,92,64,79,65,39,67,63,64,91,67,14,64,48,63,5,62,97,62,44,60,52,61,64,60,55,60,57,59,34,58,78,58,91,57,46,7,74,5,55,11,25,12,9,11,97,9,32,7,2,9,62,10,5,9,6,12,55,12,17,12,61,11,33,12,74,16,6,17,82,15,16,25,22,48,19,16,16,41,19,9,21,6,17,4,17,7,16,39,20,46,17,4,13,96,16,76,15,42,13,4,15,72,15,39,17,54,15,3,12,4,10,9,12,42,9,4,12,92,14,9,16,62,9,5,9,47,9,18,5,38,4,5,4,46,5,21,4,57,2,86,2,8,4,83,3,79,1,25,2,28,3,65,7,42,4,31,3,46,4,39,6,34,6,9,5,29,4,2,5,28,4,57,5,4,5,2,6,13,53,81,55,2,51,99,51,71,51,42,54,81,56,66,53,12,53,86,54,95,53,14,53,36,56,29,58,28,53,59,51,31,52,18,54,56,50,25,47,87,49,82,52,44,48,57,47,36,51,13,53,29,53,57,50,6,52,7,56,44,52,77,53,83,54,37,53,64,51,79,49,46,52,6,55,74,55,43,54,88,55,47,53,56,52,58,50,67,55,6,55,54,55,67,58,12,59,71,60,29,57,53,58,93,60,65,63,56,61,79,62,33,64,57,66,1,62,54,62,16,61,7,61,3,60,21,58,48,56,83,58,38,58,12,57,37,56,63,55,82,55,85,53,94,,,
    35 Palmas Las,65,91,63,43,64,5,64,17,64,87,66,69,65,43,65,62,66,66,65,98,66,54,64,66,64,76,66,67,66,73,67,97,69,21,68,85,69,85,70,35,67,82,67,62,68,29,68,85,70,24,69,79,68,84,70,89,70,38,71,27,71,36,70,36,68,63,70,27,69,9,69,2,69,6,69,33,70,78,70,97,71,44,71,7,70,69,71,69,71,51,71,1,70,85,70,67,71,61,70,14,71,45,72,2,70,7,72,54,72,76,72,98,72,22,70,56,70,96,72,3,69,86,69,1,69,47,70,13,70,67,69,38,68,6,68,84,69,43,69,39,70,51,69,17,17,88,19,51,22,66,23,87,20,36,19,73,17,95,19,35,20,9,19,48,23,83,26,62,23,35,24,5,24,66,23,59,25,66,25,46,29,22,29,9,30,78,34,5,31,59,33,22,34,21,36,1,32,63,33,14,32,39,31,72,33,7,31,1,30,64,29,99,31,26,31,48,32,83,31,43,33,67,28,9,28,2,26,28,25,47,27,23,20,4,18,6,15,99,12,11,10,98,9,64,8,37,8,67,9,23,10,7,9,21,9,97,10,24,10,11,11,77,12,47,8,49,8,66,10,38,9,75,8,22,9,14,8,47,7,13,8,13,7,5,8,84,7,68,54,12,51,5,49,88,48,85,51,67,53,53,53,68,52,92,53,27,53,12,50,69,47,44,49,64,50,33,50,27,51,93,51,45,51,32,49,44,49,32,46,94,44,29,46,72,45,98,46,21,44,6,46,38,47,4,47,58,48,66,47,31,48,48,47,61,49,2,47,49,47,42,46,39,47,54,46,95,51,4,51,42,52,86,52,69,52,17,56,92,58,26,59,52,62,11,63,75,63,37,65,47,65,78,64,18,64,78,66,5,65,71,64,82,63,42,62,61,63,4,63,92,63,3,62,26,63,3,64,86,63,4,62,79,63,93,63,79,64,18,64,28,63,85
    36 Pontevedra,58,6,59,7,58,64,58,6,58,4,58,58,58,22,57,81,57,96,58,43,58,58,77,59,62,60,2,60,60,18,60,18,60,42,60,39,60,51,60,94,61,5,60,61,61,73,62,37,62,86,62,43,61,68,62,93,63,45,64,4,64,32,63,97,63,54,63,38,63,3,62,79,65,18,63,36,64,35,64,51,65,39,65,73,66,36,66,34,66,2,65,6,66,44,65,39,66,41,66,74,67,4,66,16,66,26,65,2,65,14,65,53,67,46,65,98,66,4,66,82,66,11,66,1,65,69,65,92,65,36,64,86,65,52,63,98,64,9,62,82,62,38,12,33,11,29,13,96,15,4,13,33,13,3,15,1,17,13,17,54,15,65,18,53,19,17,18,43,17,91,19,7,20,48,19,97,19,15,22,25,24,91,24,87,22,87,23,49,26,6,25,19,24,17,24,82,24,35,23,6,24,22,25,84,24,23,21,68,19,1,19,16,20,18,18,7,16,85,17,43,18,13,92,13,76,15,14,14,74,11,2,9,24,6,99,7,47,5,91,6,88,5,88,6,2,5,79,6,82,5,66,6,2,6,87,6,53,8,51,8,19,10,77,8,52,8,94,9,96,9,38,8,89,8,85,10,47,8,52,7,1,8,7,10,35,50,91,52,41,50,45,49,32,50,61,50,79,49,48,47,9,47,79,49,28,47,25,47,5,48,63,49,42,48,18,47,85,48,16,48,85,46,96,45,44,45,78,47,43,46,37,45,65,46,66,47,66,46,94,46,66,48,8,48,8,47,49,48,73,50,9,51,41,51,24,50,52,51,4,54,2,52,32,52,77,55,53,56,39,55,77,56,58,58,91,60,8,61,2,61,48,61,53,61,84,62,82,63,62,33,61,75,61,51,61,11,61,3,63,6,60,37,60,96,59,62,60,47,60,11,59,15,59,74,59,54,59,12,58,65,58,53,59,53,57,76,55,92,,,,,
    26 Rioja La,63,6,64,66,64,9,63,52,63,41,64,85,63,89,63,2,65,5,64,9,64,21,65,37,64,33,65,23,66,17,66,2,66,34,66,26,65,99,65,7,65,52,67,19,66,56,66,2,65,65,66,6,64,76,64,6,65,75,66,58,68,31,66,51,67,11,68,36,67,8,67,79,67,85,69,14,67,76,68,28,69,68,78,70,52,69,59,69,9,71,2,70,44,68,84,70,46,69,94,70,71,70,18,71,6,70,69,61,69,62,71,6,72,19,71,84,70,41,68,79,68,63,67,12,67,2,66,53,66,52,66,15,67,6,66,4,67,54,67,81,67,42,10,39,9,8,10,2,10,29,9,37,8,28,8,78,10,1,9,45,11,22,7,6,9,88,9,19,12,76,12,46,14,28,14,22,13,52,14,7,14,67,13,64,16,47,15,33,16,91,17,97,19,35,20,97,18,55,18,5,18,8,20,96,17,9,17,48,16,87,16,94,15,32,14,22,13,15,10,76,13,25,13,22,12,77,12,97,11,39,8,39,6,89,5,91,4,67,4,1,4,16,3,4,4,55,5,46,5,23,5,37,4,35,4,61,3,76,3,61,4,56,4,57,6,25,4,53,4,98,4,89,3,77,2,83,3,31,3,8,5,58,6,5,5,75,57,58,32,58,39,56,98,57,47,59,48,58,28,56,7,58,91,56,9,59,33,58,91,58,42,56,9,57,93,56,75,56,91,57,3,56,7,56,6,56,58,56,13,56,35,54,85,53,85,53,27,51,18,52,18,53,59,54,7,53,99,54,61,55,38,56,83,55,72,57,4,58,2,60,5,60,47,59,24,59,88,60,61,38,61,66,64,3,66,3,66,28,65,63,67,57,67,3,68,31,66,99,67,18,66,34,65,87,66,59,67,78,69,48,69,24,67,2,65,65,64,35,64,8,63,86,63,28,64,1,64,28,64,84,63,53,63,77,63,4,63,55,,,,
    37 Salamanca,60,5,60,2,61,91,61,16,61,72,62,31,61,5,60,73,60,69,59,69,58,89,57,59,58,7,59,78,59,27,59,75,60,18,62,92,61,66,58,21,61,6,60,22,59,77,59,62,57,75,60,39,59,27,57,59,59,74,62,73,62,13,59,46,59,15,62,31,60,96,57,43,59,76,60,13,62,88,60,9,63,26,61,13,60,62,61,56,61,8,62,23,63,3,62,59,60,81,61,78,60,14,59,45,60,6,61,37,61,91,62,19,62,4,63,26,64,62,61,88,62,6,64,33,62,75,62,91,61,26,61,52,61,9,62,7,60,54,61,9,63,64,62,52,10,45,12,51,12,49,11,3,11,42,12,13,11,19,12,15,10,3,9,9,15,7,15,29,15,76,13,16,15,15,15,46,11,96,11,83,13,12,9,17,14,15,8,20,29,24,57,18,99,20,91,22,2,21,32,19,16,16,5,16,8,15,52,14,73,14,91,16,89,14,74,15,44,15,86,14,72,14,13,10,8,7,5,11,15,12,37,9,65,7,33,3,8,3,36,5,15,5,59,5,38,4,59,6,88,6,74,6,4,8,11,9,79,5,7,6,98,6,2,8,22,9,84,10,8,10,3,9,3,7,9,9,31,11,18,7,95,9,82,8,76,9,55,54,18,52,51,54,17,54,41,54,67,54,75,54,62,53,36,54,44,53,78,50,2,48,79,49,45,51,92,50,29,50,51,52,98,55,48,53,64,50,71,50,59,51,14,47,64,44,97,46,79,47,76,46,22,45,31,48,29,52,38,52,14,50,23,50,44,53,2,50,67,48,96,50,53,50,59,53,62,52,3,56,42,56,55,53,87,53,95,55,18,57,67,60,63,60,49,57,68,58,33,56,9,56,72,56,43,57,23,58,17,57,14,55,96,60,5,60,11,58,15,56,95,58,56,42,56,6,55,73,56,66,56,13,55,13,55,73,55,82,58,7,56,55,,,
